Name,Project,Link,
Bazik,Bedbug Intimacy,https://www.facebook.com/Bedbug-Intimacy-101316231557515/,
Sujith,Loss of Horizon and Other Converging Acts,https://www.facebook.com/lossofhorizon,
Shraddha,Chaat Meets Science and Spirituality in Growing Urgency,https://www.facebook.com/theageofgarbs/,https://www.instagram.com/ageofgarbs/
Aroh,Dalit Art Archive,https://www.instagram.com/dalitartarchive/?hl=en,
Sonam,Kairoi,https://www.instagram.com/kairoi.thetimes/?hl=en,https://kairoi.in
Khwaab Tanha,Connecting the Lines,https://www.instagram.com/khwaabtanha/?hl=en,https://www.facebook.com/khwaabtanhacollective/
Arshi,Lihaaf,https://www.instagram.com/lihaaf.thequilt/,
Sukanya,"A Man, a Tree and a Dog",https://www.instagram.com/man_tree_dog/,
Vyom,Pakistan se Pani,https://www.instagram.com/vyomasura/,
Namoos,A Secret Visuality of Injustice,,
Hemavathy,Trajectory of Traffic Police,,
Suvendu,Searching for Suvendu,,
Madhurjya,Shepard Tone,,
Shahkaar,Surface Tension,,
"Atufa, Taiyab, Reshma",Silverfish,,
Sultana,The Incident Network,,
Deepa,Yarn Array,,
Ranjana,ASL,,
Rajyashree,Pulp & Power,,
Krishnapriya,Dictionary of Nonsense,,
Awdhesh,Head in the Clouds,,
Anish,Beneath the Tree there is More Hope for a Breeze,,
Anuj & Suraj,Reanimated Corpse,,
John ,Comic Theorytelling,,
Navkiran ,Train No. 54703,,
Suvani,On mining the ear for the nearly-but-not-quite-there,,
Pranay,Moments Before the Fall,,
